,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
22086,Brooklyn,40.73018,-73.95464,Private room,50,7,1,157
22087,Queens,40.74923,-73.80568000000001,Entire home/apt,229,1,22,265
22088,Manhattan,40.7203,-73.99172,Entire home/apt,150,2,18,0
22089,Brooklyn,40.68643,-73.91465,Private room,50,1,3,342
22090,Staten Island,40.631009999999996,-74.08443,Entire home/apt,95,4,54,0
22091,Manhattan,40.78866,-73.95435,Private room,62,3,3,0
22092,Manhattan,40.80617,-73.9415,Entire home/apt,115,1,161,156
22093,Queens,40.703359999999996,-73.90991,Private room,55,1,41,5
22094,Brooklyn,40.67438,-73.94071,Entire home/apt,90,6,8,8
22095,Manhattan,40.830459999999995,-73.94142,Private room,30,1,7,0
22096,Manhattan,40.80113,-73.94283,Private room,100,2,0,0
22097,Brooklyn,40.70422,-73.92756999999999,Private room,71,1,73,364
22098,Brooklyn,40.70276,-73.9271,Private room,70,1,59,362
22099,Manhattan,40.80623,-73.94046999999999,Entire home/apt,115,1,134,1
22100,Queens,40.666,-73.76333000000001,Private room,65,1,325,0
22101,Queens,40.58493,-73.81736,Entire home/apt,120,1,113,133
22102,Brooklyn,40.71168,-73.9657,Private room,100,5,2,0
22103,Brooklyn,40.6921,-73.93502,Private room,59,1,181,34
22104,Queens,40.66535,-73.76366999999999,Private room,65,1,368,0
22105,Manhattan,40.80171,-73.96623000000001,Private room,89,5,55,0
22106,Brooklyn,40.630520000000004,-73.97161,Private room,250,2,0,365
22107,Queens,40.68615,-73.78747,Private room,80,1,177,180
22108,Manhattan,40.76428,-73.9941,Entire home/apt,127,3,1,0
22109,Brooklyn,40.68769,-73.95254,Private room,150,5,0,66
22110,Brooklyn,40.63159,-73.92724,Entire home/apt,170,2,3,180
22111,Manhattan,40.721959999999996,-73.99664,Private room,120,6,47,40
22112,Brooklyn,40.69708,-73.91237,Private room,44,3,31,365
22113,Queens,40.7483,-73.94530999999999,Private room,71,7,102,173
22114,Brooklyn,40.69253,-73.99249,Private room,150,2,61,117
22115,Brooklyn,40.70973,-73.94552,Private room,75,2,0,0
22116,Queens,40.76529,-73.92304,Private room,53,2,14,0
22117,Brooklyn,40.69491,-73.91266,Private room,100,1,2,269
22118,Brooklyn,40.67841,-73.9698,Entire home/apt,175,7,5,0
22119,Manhattan,40.721070000000005,-73.98039,Entire home/apt,170,3,8,111
22120,Manhattan,40.81733,-73.95413,Private room,25,1,0,0
22121,Queens,40.75125,-73.87644,Private room,51,1,108,306
22122,Manhattan,40.76999,-73.94928,Entire home/apt,95,1,89,0
22123,Brooklyn,40.70432,-73.9267,Entire home/apt,94,2,51,74
22124,Brooklyn,40.6427,-73.91266,Private room,69,1,20,305
22125,Manhattan,40.77666,-73.95618,Private room,105,2,8,0
22126,Manhattan,40.728559999999995,-73.98125,Entire home/apt,79,2,1,0
22127,Queens,40.7381,-73.91893,Private room,64,31,0,95
22128,Brooklyn,40.671640000000004,-73.95326,Private room,40,15,26,67
22129,Manhattan,40.79295,-73.93808,Private room,62,3,21,0
22130,Manhattan,40.70552,-74.00941,Entire home/apt,110,7,32,272
22131,Manhattan,40.73581,-74.00666,Entire home/apt,185,4,22,22
22132,Manhattan,40.80726,-73.93815,Entire home/apt,177,2,130,267
22133,Brooklyn,40.67541,-73.94917,Entire home/apt,110,2,4,0
22134,Manhattan,40.748909999999995,-73.97846,Entire home/apt,235,3,0,0
22135,Manhattan,40.78311,-73.95299,Private room,80,3,85,28
22136,Queens,40.77411,-73.92730999999999,Private room,53,5,47,5
22137,Brooklyn,40.671479999999995,-73.97766,Private room,95,9,4,0
22138,Manhattan,40.761379999999996,-73.9598,Entire home/apt,115,30,1,336
22139,Brooklyn,40.65749,-73.95510999999999,Private room,65,2,0,0
22140,Manhattan,40.743970000000004,-73.98405,Entire home/apt,130,4,5,0
22141,Manhattan,40.72552,-73.98657,Private room,79,4,1,0
22142,Brooklyn,40.69422,-73.96565,Entire home/apt,107,2,5,0
22143,Brooklyn,40.7233,-73.94187,Entire home/apt,116,1,9,0
22144,Brooklyn,40.69461,-73.94825,Private room,47,3,5,0
22145,Manhattan,40.727709999999995,-73.98983,Private room,100,2,66,27
22146,Brooklyn,40.6754,-73.88989000000001,Private room,75,3,71,360
22147,Brooklyn,40.71666,-73.94561999999999,Entire home/apt,160,5,10,0
22148,Brooklyn,40.67091,-73.94888,Entire home/apt,275,4,6,96
22149,Brooklyn,40.648070000000004,-73.96625,Private room,22,3,2,0
22150,Brooklyn,40.58186,-73.9602,Private room,60,1,2,1
22151,Manhattan,40.812129999999996,-73.9395,Entire home/apt,70,4,9,0
22152,Brooklyn,40.66424,-73.98395,Private room,100,3,6,179
22153,Brooklyn,40.68144,-73.9426,Private room,55,5,0,0
22154,Manhattan,40.817029999999995,-73.9525,Private room,64,2,8,98
22155,Manhattan,40.84545,-73.93809,Private room,47,3,4,0
22156,Manhattan,40.74107,-73.99936,Entire home/apt,250,2,2,0
22157,Brooklyn,40.717240000000004,-73.94492,Entire home/apt,190,15,8,198
22158,Bronx,40.8781,-73.89998,Entire home/apt,99,3,116,86
22159,Brooklyn,40.68309,-73.95249,Private room,88,7,6,82
22160,Brooklyn,40.6905,-73.94375,Private room,100,1,0,130
22161,Manhattan,40.77048,-73.98252,Private room,250,3,11,17
22162,Manhattan,40.72571,-73.98789000000001,Entire home/apt,250,2,8,264
22163,Brooklyn,40.695640000000004,-73.99691,Entire home/apt,150,3,26,0
22164,Manhattan,40.76616,-73.98916,Entire home/apt,484,2,107,46
22165,Brooklyn,40.6632,-73.98529,Private room,50,1,19,0
22166,Manhattan,40.757940000000005,-73.96959,Entire home/apt,141,8,12,0
22167,Manhattan,40.76352,-73.9831,Entire home/apt,199,2,70,263
22168,Manhattan,40.81473,-73.96217,Entire home/apt,140,2,2,0
22169,Manhattan,40.8217,-73.93751,Private room,79,2,36,218
22170,Brooklyn,40.69851,-73.96961,Entire home/apt,142,2,3,0
22171,Brooklyn,40.68656,-73.9522,Private room,80,1,3,0
22172,Manhattan,40.75538,-74.00441,Shared room,337,27,0,365
22173,Bronx,40.86437,-73.8485,Private room,47,2,40,339
22174,Brooklyn,40.71647,-73.95971,Private room,65,20,1,0
22175,Manhattan,40.81217,-73.94055999999999,Entire home/apt,149,3,80,268
22176,Brooklyn,40.67933,-73.96305,Entire home/apt,300,5,3,0
22177,Brooklyn,40.6961,-73.99329,Private room,159,2,5,363
22178,Brooklyn,40.68352,-73.96771,Private room,60,3,9,6
22179,Brooklyn,40.70219,-73.93115,Private room,50,3,2,0
22180,Manhattan,40.704640000000005,-74.00715,Entire home/apt,220,2,108,225
22181,Manhattan,40.76587,-73.98210999999999,Entire home/apt,380,4,0,0
22182,Brooklyn,40.59211,-73.94126999999999,Private room,99,1,13,82
22183,Brooklyn,40.72428,-73.94686,Entire home/apt,120,3,8,3
22184,Manhattan,40.769870000000004,-73.95111,Entire home/apt,110,14,4,221
22185,Queens,40.67414,-73.76454,Private room,50,7,14,0
22186,Queens,40.75615,-73.91281,Private room,30,90,2,341
22187,Brooklyn,40.69723,-73.92511,Private room,60,5,22,175
22188,Brooklyn,40.577059999999996,-73.98439,Entire home/apt,110,2,57,144
22189,Manhattan,40.80533,-73.95049,Private room,75,1,2,280
22190,Brooklyn,40.71185,-73.95806,Entire home/apt,100,20,10,45
22191,Manhattan,40.79274,-73.94286,Private room,65,1,81,0
22192,Manhattan,40.73057,-73.986,Private room,125,2,21,329
22193,Brooklyn,40.69377,-73.91269,Private room,40,5,84,316
22194,Bronx,40.86868,-73.85483,Entire home/apt,105,2,73,87
22195,Brooklyn,40.70937,-73.95903,Entire home/apt,115,4,6,0
22196,Brooklyn,40.62723,-73.92635,Entire home/apt,75,2,38,363
22197,Manhattan,40.74119,-74.0006,Private room,429,2,119,288
22198,Bronx,40.8709,-73.89945999999999,Shared room,60,2,11,365
22199,Brooklyn,40.67689,-73.95079,Private room,30,3,3,0
22200,Brooklyn,40.72449,-73.94485999999999,Private room,84,7,7,24
22201,Manhattan,40.71326,-73.99698000000001,Private room,75,2,59,68
22202,Brooklyn,40.68003,-73.91701,Private room,50,4,10,7
22203,Brooklyn,40.67089,-73.9182,Private room,39,1,81,220
22204,Brooklyn,40.68476,-73.95470999999999,Entire home/apt,160,5,59,243
22205,Brooklyn,40.721579999999996,-73.94578,Entire home/apt,175,3,71,20
22206,Queens,40.759009999999996,-73.81461,Private room,47,3,92,172
22207,Queens,40.77872,-73.90943,Entire home/apt,89,1,0,0
22208,Brooklyn,40.63613,-74.02261999999999,Private room,29,1,3,0
22209,Manhattan,40.76811,-73.98181,Private room,95,3,62,86
22210,Brooklyn,40.67053,-73.94923,Private room,40,5,0,0
22211,Queens,40.7542,-73.92849,Entire home/apt,145,5,23,173
22212,Manhattan,40.71816,-73.99538000000001,Private room,90,6,0,0
22213,Manhattan,40.73307,-73.99277,Entire home/apt,250,7,1,0
22214,Manhattan,40.8155,-73.93986,Private room,38,3,1,0
22215,Queens,40.734429999999996,-73.89635,Private room,65,1,7,309
22216,Bronx,40.845459999999996,-73.89013,Entire home/apt,150,1,43,179
22217,Brooklyn,40.66194,-73.99138,Entire home/apt,139,3,32,20
22218,Manhattan,40.721470000000004,-73.98774,Entire home/apt,127,2,3,0
22219,Brooklyn,40.73223,-73.95786,Entire home/apt,290,10,2,0
22220,Manhattan,40.79806,-73.96085,Private room,100,2,5,0
22221,Manhattan,40.76313,-73.98978000000001,Private room,100,1,216,43
22222,Brooklyn,40.70896,-73.95119,Entire home/apt,150,7,0,0
22223,Brooklyn,40.69107,-73.91134,Private room,65,2,4,0
22224,Manhattan,40.74123,-73.99521999999999,Entire home/apt,200,4,45,49
22225,Queens,40.71031,-73.87613,Entire home/apt,100,4,28,89
22226,Brooklyn,40.68698,-73.95228,Entire home/apt,148,1,37,0
22227,Brooklyn,40.67395,-73.96333,Entire home/apt,160,4,115,80
22228,Manhattan,40.780559999999994,-73.95182,Entire home/apt,147,4,9,7
22229,Manhattan,40.80972,-73.95774,Entire home/apt,95,2,0,0
22230,Brooklyn,40.69345,-73.96632,Entire home/apt,130,5,3,0
22231,Manhattan,40.7181,-74.00984,Entire home/apt,157,2,13,18
22232,Manhattan,40.79416,-73.97044,Private room,95,1,26,0
22233,Brooklyn,40.70127,-73.91764,Entire home/apt,120,2,8,1
22234,Manhattan,40.79857,-73.96162,Entire home/apt,110,30,9,161
22235,Manhattan,40.72439,-73.97606999999999,Entire home/apt,130,5,2,363
22236,Manhattan,40.72999,-74.0034,Private room,99,1,0,0
22237,Queens,40.71774,-73.89180999999999,Entire home/apt,90,6,26,237
22238,Brooklyn,40.656940000000006,-73.92728000000001,Private room,138,30,13,37
22239,Manhattan,40.79424,-73.93495,Entire home/apt,125,1,123,84
22240,Manhattan,40.73612,-73.99978,Entire home/apt,395,1,39,177
22241,Brooklyn,40.67156,-73.98366,Entire home/apt,100,4,7,37
22242,Brooklyn,40.72052,-73.94098000000001,Entire home/apt,150,8,12,0
22243,Manhattan,40.727340000000005,-73.98319000000001,Private room,150,1,16,0
22244,Brooklyn,40.637159999999994,-73.88654,Entire home/apt,85,2,96,340
22245,Manhattan,40.7729,-73.95738,Entire home/apt,115,2,100,91
22246,Brooklyn,40.69449,-73.91874,Private room,50,2,6,56
22247,Queens,40.7824,-73.82144,Private room,45,1,84,157
22248,Brooklyn,40.66491,-73.9544,Entire home/apt,160,3,11,0
22249,Brooklyn,40.69471,-73.94406,Private room,40,2,24,1
22250,Queens,40.752359999999996,-73.89171999999999,Private room,70,3,23,177
22251,Brooklyn,40.6974,-73.92487,Private room,80,3,172,169
22252,Manhattan,40.73117,-73.97616,Private room,55,31,0,0
22253,Manhattan,40.73114,-73.98439,Entire home/apt,110,7,6,52
22254,Queens,40.74443,-73.94298,Entire home/apt,225,1,6,358
22255,Queens,40.69775,-73.89474,Private room,69,2,2,0
22256,Queens,40.65377,-73.73087,Private room,35,15,38,311
22257,Manhattan,40.77243,-73.95744,Private room,300,2,10,0
22258,Manhattan,40.74391,-73.97151,Entire home/apt,350,3,15,0
22259,Brooklyn,40.690490000000004,-73.95877,Private room,45,2,16,0
22260,Brooklyn,40.690540000000006,-73.9328,Entire home/apt,150,2,69,278
22261,Brooklyn,40.699740000000006,-73.91935,Private room,10,5,0,0
22262,Queens,40.75656,-73.80385,Private room,108,1,3,0
22263,Staten Island,40.631679999999996,-74.12316,Private room,89,2,12,279
22264,Queens,40.7711,-73.92579,Private room,70,7,11,65
22265,Manhattan,40.78593,-73.97485,Entire home/apt,210,30,0,328
22266,Manhattan,40.7902,-73.97568000000001,Entire home/apt,150,7,0,0
22267,Brooklyn,40.70824,-73.94379,Private room,55,7,34,259
22268,Brooklyn,40.68091,-73.95005,Private room,200,1,13,23
22269,Brooklyn,40.619009999999996,-74.00045,Entire home/apt,120,3,45,295
22270,Bronx,40.810340000000004,-73.93166,Shared room,165,2,20,15
22271,Manhattan,40.72036,-73.98458000000001,Private room,155,3,27,0
22272,Manhattan,40.71456,-73.99077,Private room,95,14,3,28
22273,Manhattan,40.735890000000005,-74.00304,Entire home/apt,139,3,29,0
22274,Manhattan,40.86517,-73.92318,Private room,65,1,1,0
22275,Brooklyn,40.58092,-73.96139000000001,Private room,57,1,1,4
22276,Bronx,40.81234,-73.91688,Private room,42,5,54,314
22277,Bronx,40.81387,-73.91553,Private room,42,5,17,23
22278,Manhattan,40.78549,-73.97673,Private room,90,3,4,0
22279,Queens,40.729620000000004,-73.8591,Entire home/apt,69,3,90,111
22280,Manhattan,40.78937,-73.9789,Entire home/apt,376,30,1,357
22281,Bronx,40.88534,-73.83434,Private room,75,1,15,348
22282,Manhattan,40.71889,-73.99604000000001,Private room,99,3,3,0
22283,Queens,40.74756,-73.88193000000001,Private room,85,1,67,173
22284,Manhattan,40.820209999999996,-73.95441,Private room,69,2,7,71
22285,Manhattan,40.84345,-73.9422,Private room,100,2,0,0
22286,Manhattan,40.80104,-73.96041,Private room,45,1,0,0
22287,Manhattan,40.72237,-73.99817,Private room,10,5,2,0
22288,Brooklyn,40.69365,-73.9109,Private room,60,7,1,0
22289,Manhattan,40.73242,-73.9868,Private room,48,2,33,42
22290,Bronx,40.82097,-73.92739,Entire home/apt,145,2,76,139
22291,Manhattan,40.7503,-74.00473000000001,Private room,57,1,53,33
22292,Brooklyn,40.67686,-73.93032,Private room,85,1,106,102
22293,Manhattan,40.72286,-73.98025,Private room,100,2,0,0
22294,Queens,40.765029999999996,-73.83039000000001,Private room,45,1,82,52
22295,Manhattan,40.723079999999996,-73.97988000000001,Private room,100,2,0,0
22296,Brooklyn,40.71891,-73.9657,Entire home/apt,250,2,2,0
22297,Queens,40.752140000000004,-73.8584,Private room,40,4,22,95
22298,Manhattan,40.78913,-73.98043,Entire home/apt,317,31,0,82
22299,Staten Island,40.62919,-74.08107,Entire home/apt,70,1,177,230
22300,Queens,40.76169,-73.76813,Private room,70,2,17,351
22301,Manhattan,40.76634,-73.98721,Private room,61,30,3,160
22302,Brooklyn,40.66338,-73.99879,Entire home/apt,300,3,86,269
22303,Brooklyn,40.6873,-73.96600000000001,Entire home/apt,92,10,4,0
22304,Manhattan,40.7807,-73.97869,Entire home/apt,200,4,2,0
22305,Manhattan,40.78822,-73.94870999999999,Entire home/apt,150,3,102,222
22306,Brooklyn,40.68815,-73.91032,Entire home/apt,120,2,76,270
22307,Manhattan,40.81131,-73.9582,Private room,45,1,76,0
22308,Manhattan,40.73953,-74.00841,Entire home/apt,170,30,1,365
22309,Manhattan,40.72886,-73.9883,Private room,150,1,0,0
22310,Bronx,40.85311,-73.88763,Private room,29,4,4,0
22311,Manhattan,40.722609999999996,-73.99348,Entire home/apt,250,2,5,0
22312,Manhattan,40.717940000000006,-73.99955,Entire home/apt,195,4,30,0
22313,Brooklyn,40.662,-73.93775,Private room,15,1,2,0
22314,Manhattan,40.73272,-74.00356,Entire home/apt,230,2,9,0
22315,Manhattan,40.81053,-73.94332,Entire home/apt,130,2,23,14
22316,Queens,40.75607,-73.83202,Private room,78,2,41,82
22317,Brooklyn,40.68823,-73.90825,Private room,53,1,49,105
22318,Manhattan,40.70743,-74.005,Private room,100,1,11,0
22319,Manhattan,40.77858,-73.98706999999999,Entire home/apt,150,28,8,238
22320,Brooklyn,40.65935,-73.90279,Entire home/apt,89,2,102,70
22321,Manhattan,40.70648,-74.01234000000001,Entire home/apt,105,12,4,0
22322,Brooklyn,40.67523,-73.92326,Entire home/apt,80,7,77,74
22323,Queens,40.752990000000004,-73.8307,Private room,57,1,50,38
22324,Queens,40.757290000000005,-73.91591,Private room,75,22,37,69
22325,Brooklyn,40.733540000000005,-73.95728000000001,Entire home/apt,151,1,94,36
22326,Brooklyn,40.69103,-73.96106,Entire home/apt,197,4,7,0
22327,Queens,40.72736,-73.89659,Entire home/apt,100,2,87,245
22328,Brooklyn,40.67694,-73.95461999999999,Private room,88,2,55,282
22329,Brooklyn,40.69025,-73.95891,Private room,60,4,2,0
22330,Manhattan,40.76876,-73.98359,Entire home/apt,375,3,76,301
22331,Brooklyn,40.69288,-73.93285,Private room,45,1,0,7
22332,Manhattan,40.74423,-74.00111,Entire home/apt,95,1,105,98
22333,Brooklyn,40.68295,-73.92536,Entire home/apt,82,2,134,238
22334,Queens,40.734809999999996,-73.88051,Private room,50,3,0,0
22335,Brooklyn,40.69045,-73.91507,Private room,40,2,12,281
22336,Manhattan,40.7972,-73.94749,Private room,45,28,1,147
22337,Brooklyn,40.63684,-73.95693,Private room,60,2,17,9
22338,Manhattan,40.747009999999996,-73.9914,Private room,105,1,132,103
22339,Brooklyn,40.67158,-73.97471999999999,Private room,159,1,73,166
22340,Manhattan,40.72054,-73.98470999999999,Entire home/apt,208,3,4,0
22341,Manhattan,40.70732,-74.01451,Private room,105,2,18,95
22342,Queens,40.68655,-73.86491,Private room,69,3,48,332
22343,Queens,40.76266,-73.91991999999999,Entire home/apt,250,2,0,0
22344,Brooklyn,40.68824,-73.91566999999999,Entire home/apt,100,2,111,10
22345,Brooklyn,40.67544,-73.95655,Entire home/apt,80,5,1,0
22346,Brooklyn,40.69892,-73.9302,Private room,72,1,4,180
22347,Manhattan,40.71866,-73.99633,Private room,120,3,1,0
22348,Bronx,40.81217,-73.91776999999999,Private room,41,5,21,334
22349,Brooklyn,40.71815,-73.95519,Entire home/apt,250,14,0,83
22350,Brooklyn,40.669140000000006,-73.95333000000001,Private room,50,6,20,78
22351,Manhattan,40.74686,-74.0043,Entire home/apt,134,3,1,0
22352,Brooklyn,40.664429999999996,-73.99348,Entire home/apt,150,5,2,179
22353,Staten Island,40.639520000000005,-74.0973,Entire home/apt,5000,1,0,344
22354,Brooklyn,40.69424,-73.9385,Entire home/apt,300,2,95,229
22355,Manhattan,40.81321,-73.94556,Entire home/apt,150,4,16,12
22356,Manhattan,40.806740000000005,-73.95616,Private room,60,5,1,0
22357,Brooklyn,40.669940000000004,-73.9315,Private room,45,2,12,32
22358,Manhattan,40.77317,-73.98895,Private room,67,1,0,0
22359,Brooklyn,40.669259999999994,-73.991,Entire home/apt,142,1,8,0
22360,Manhattan,40.81064,-73.94405,Private room,67,2,28,132
22361,Queens,40.74238,-73.91783000000001,Private room,69,3,21,177
22362,Queens,40.74385,-73.91403000000001,Private room,95,2,36,0
22363,Manhattan,40.76246,-73.95985,Entire home/apt,195,1,3,0
22364,Staten Island,40.64425,-74.08055999999999,Entire home/apt,72,4,97,152
22365,Staten Island,40.64605,-74.07897,Entire home/apt,289,4,2,230
22366,Brooklyn,40.69502,-73.9478,Entire home/apt,80,21,1,66
22367,Brooklyn,40.66151,-73.96194,Entire home/apt,69,3,16,6
22368,Queens,40.68821,-73.83411,Private room,95,3,26,160
22369,Brooklyn,40.71882,-73.95562,Private room,110,3,0,0
22370,Manhattan,40.74289,-73.98134,Entire home/apt,175,2,22,0
22371,Queens,40.75541,-73.9335,Private room,35,1,90,273
22372,Brooklyn,40.72528,-73.94428,Entire home/apt,175,5,72,198
22373,Manhattan,40.749320000000004,-74.00333,Private room,2800,1,0,89
22374,Manhattan,40.76316,-73.9904,Private room,100,4,0,0
22375,Brooklyn,40.69801,-73.93356999999999,Private room,88,3,11,0
22376,Manhattan,40.76191,-73.99766,Entire home/apt,499,30,0,185
22377,Manhattan,40.84497,-73.93934,Private room,80,1,129,365
22378,Brooklyn,40.7331,-73.95837,Private room,49,5,52,66
22379,Manhattan,40.77581,-73.956,Entire home/apt,510,7,0,207
22380,Brooklyn,40.68761,-73.94953000000001,Private room,45,1,20,10
22381,Manhattan,40.76213,-73.94971,Private room,100,2,97,142
22382,Queens,40.6987,-73.78455,Private room,50,1,38,359
22383,Manhattan,40.72964,-73.99946,Entire home/apt,199,3,1,0
22384,Queens,40.675740000000005,-73.85601,Entire home/apt,81,3,96,233
22385,Manhattan,40.7822,-73.98207,Entire home/apt,90,2,12,0
22386,Brooklyn,40.68535,-73.96491999999999,Private room,80,2,37,159
22387,Manhattan,40.79795,-73.96199,Entire home/apt,175,5,2,4
22388,Manhattan,40.843540000000004,-73.93874,Entire home/apt,50,6,0,0
22389,Brooklyn,40.68476,-73.92399,Private room,60,30,9,189
22390,Bronx,40.88364,-73.83561,Private room,70,3,0,365
22391,Brooklyn,40.721709999999995,-73.95872,Entire home/apt,175,2,134,208
22392,Brooklyn,40.63592,-74.0219,Private room,30,30,6,0
22393,Manhattan,40.76576,-73.98016,Private room,350,1,1,0
22394,Brooklyn,40.67358,-73.93502,Private room,57,1,32,95
22395,Brooklyn,40.73542,-73.9562,Entire home/apt,120,20,17,59
22396,Brooklyn,40.65932,-73.94179,Entire home/apt,129,2,86,247
22397,Brooklyn,40.66935,-73.94708,Private room,60,3,0,16
22398,Brooklyn,40.65661,-73.96053,Entire home/apt,76,1,2,0
22399,Manhattan,40.73819,-73.97389,Entire home/apt,150,62,0,88
22400,Manhattan,40.85564,-73.93066,Private room,40,1,93,297
22401,Manhattan,40.80353,-73.94707,Entire home/apt,250,2,14,296
22402,Manhattan,40.85516,-73.92863,Private room,55,1,96,128
22403,Manhattan,40.77241,-73.94800000000001,Entire home/apt,124,31,0,0
22404,Manhattan,40.7709,-73.95508000000001,Entire home/apt,130,7,5,14
22405,Brooklyn,40.68673,-73.99653,Entire home/apt,700,4,4,15
22406,Manhattan,40.74563,-73.9759,Entire home/apt,219,30,1,362
22407,Manhattan,40.72207,-74.00232,Entire home/apt,2250,2,20,341
22408,Queens,40.76745,-73.87915,Entire home/apt,125,1,138,111
22409,Brooklyn,40.7124,-73.96263,Entire home/apt,200,5,0,0
22410,Manhattan,40.7631,-73.96281,Entire home/apt,179,30,0,365
22411,Brooklyn,40.6817,-73.92068,Entire home/apt,200,2,12,9
22412,Brooklyn,40.71747,-73.95459,Entire home/apt,160,1,18,2
22413,Manhattan,40.704809999999995,-74.00805,Entire home/apt,270,30,0,365
22414,Brooklyn,40.69037,-73.9184,Private room,51,2,4,0
22415,Brooklyn,40.67992,-73.95695,Private room,65,2,3,0
22416,Queens,40.777640000000005,-73.91128,Entire home/apt,100,3,93,197
22417,Queens,40.766009999999994,-73.91841,Private room,49,5,2,179
22418,Brooklyn,40.69171,-73.9575,Entire home/apt,195,4,80,218
22419,Manhattan,40.764759999999995,-73.99453000000001,Entire home/apt,115,30,3,326
22420,Brooklyn,40.69511,-73.90715,Private room,65,4,17,11
22421,Brooklyn,40.69664,-73.97375,Private room,65,2,3,0
22422,Brooklyn,40.70091,-73.92215,Private room,60,2,113,3
22423,Brooklyn,40.72128,-73.95546999999999,Entire home/apt,175,2,8,0
22424,Manhattan,40.81928,-73.95398,Private room,80,2,9,72
22425,Brooklyn,40.69624,-73.93414,Private room,72,4,59,120
22426,Manhattan,40.72177,-73.98286,Private room,100,5,8,128
22427,Manhattan,40.79487,-73.96555,Entire home/apt,100,3,3,0
22428,Queens,40.758109999999995,-73.81458,Private room,47,2,130,342
22429,Brooklyn,40.6919,-73.94487,Private room,125,1,60,90
22430,Queens,40.69661,-73.90021999999999,Private room,56,5,71,100
22431,Manhattan,40.76982,-73.95258000000001,Entire home/apt,105,30,2,120
22432,Manhattan,40.79974,-73.96432,Private room,80,6,3,0
22433,Brooklyn,40.650259999999996,-73.96308,Private room,40,2,0,0
22434,Manhattan,40.74432,-73.99985,Entire home/apt,180,5,7,0
22435,Manhattan,40.78949,-73.94461,Private room,79,5,47,131
22436,Brooklyn,40.692609999999995,-73.94393000000001,Entire home/apt,150,2,33,177
22437,Manhattan,40.777770000000004,-73.97939000000001,Entire home/apt,250,1,3,0
22438,Brooklyn,40.71398,-73.94702,Private room,169,5,60,50
22439,Brooklyn,40.68572,-73.99286,Entire home/apt,199,1,6,0
22440,Brooklyn,40.693690000000004,-73.96826,Entire home/apt,125,6,0,0
22441,Manhattan,40.83126,-73.94832,Private room,120,2,14,0
22442,Manhattan,40.82168,-73.95161,Entire home/apt,199,3,45,0
22443,Brooklyn,40.68786,-73.98810999999999,Entire home/apt,160,5,10,8
22444,Brooklyn,40.67387,-73.96706999999999,Entire home/apt,100,5,14,0
22445,Brooklyn,40.684020000000004,-73.93081,Entire home/apt,550,2,32,248
22446,Brooklyn,40.69307,-73.95254,Private room,40,3,1,0
22447,Brooklyn,40.6877,-73.9159,Entire home/apt,95,2,113,6
22448,Manhattan,40.78071,-73.95149,Private room,150,1,3,0
22449,Brooklyn,40.68727,-73.98574,Entire home/apt,189,5,58,24
22450,Brooklyn,40.68293,-73.95458,Private room,71,1,2,0
22451,Brooklyn,40.6942,-73.94963,Private room,40,3,6,0
22452,Brooklyn,40.63256,-73.94757,Private room,55,4,8,364
22453,Queens,40.74473,-73.91875999999999,Private room,150,3,1,0
22454,Manhattan,40.75888,-73.99077,Entire home/apt,229,30,0,149
22455,Manhattan,40.7647,-73.99414,Entire home/apt,120,30,0,353
22456,Brooklyn,40.708690000000004,-73.94684000000001,Private room,100,3,0,0
22457,Brooklyn,40.70327,-73.93425,Entire home/apt,160,2,18,358
22458,Manhattan,40.72269,-73.98428,Private room,50,5,0,0
22459,Brooklyn,40.68544,-73.92456999999999,Private room,60,1,1,0
22460,Manhattan,40.75735,-73.99189,Entire home/apt,229,30,2,362
22461,Queens,40.77412,-73.9061,Entire home/apt,99,1,81,202
22462,Manhattan,40.7847,-73.98196,Entire home/apt,136,29,1,0
22463,Manhattan,40.77681,-73.95123000000001,Private room,120,2,4,0
22464,Brooklyn,40.67259,-73.98451999999999,Entire home/apt,300,1,0,0
22465,Manhattan,40.78463,-73.98303,Entire home/apt,119,30,1,310
22466,Manhattan,40.804159999999996,-73.96538000000001,Private room,99,4,3,0
22467,Brooklyn,40.70025,-73.92175,Private room,60,3,2,0
22468,Manhattan,40.800259999999994,-73.9546,Shared room,31,1,65,89
22469,Queens,40.7638,-73.87238,Private room,48,1,436,337
22470,Manhattan,40.74754,-73.99036,Private room,69,1,63,29
22471,Brooklyn,40.69808,-73.92054,Private room,60,1,4,341
22472,Queens,40.70678,-73.80613000000001,Entire home/apt,1000,2,5,365
22473,Manhattan,40.71893,-74.0033,Entire home/apt,350,6,20,25
22474,Queens,40.70459,-73.89574,Entire home/apt,100,1,0,0
22475,Queens,40.7455,-73.95607,Entire home/apt,150,3,5,0
22476,Brooklyn,40.653209999999994,-73.95199000000001,Entire home/apt,140,1,111,259
22477,Manhattan,40.71869,-73.9931,Entire home/apt,200,3,7,0
22478,Brooklyn,40.71638,-73.96611999999999,Entire home/apt,235,1,35,9
22479,Manhattan,40.76318,-73.99462,Entire home/apt,200,30,1,350
22480,Brooklyn,40.69016,-73.9274,Private room,40,2,4,0
22481,Brooklyn,40.679429999999996,-73.94435,Entire home/apt,90,6,1,35
22482,Manhattan,40.7368,-73.98045,Entire home/apt,379,1,0,0
